arasıra	ara sıra
akşam üstü	akşamüstü
ayak üstü	ayaküstü
ara söz	arasöz
ara yön	arayön
antreman	antrenman
anbar	ambar
ayidat	aidat
belkim	belki
birgün	bir gün
birşey	bir şey
bir çok	birçok
bir kaç	birkaç
canbaz	cambaz
çenber	çember
deynek	değnek
efet	evet
elektirik	elektrik
eksoz	egzoz
ewet	evet
eşortman	eşofman
güsel	güzel
herkez	herkes
hergün	her gün
heryer	her yer
herşey	her şey
harhangibiri	herhangi biri
herbiri	her biri
klavuz	kılavuz
kiprik	kirpik
kirbit	kibrit
kordalye	kurdele
laboratuar	laboratuvar
makine	makina
meraba	merhaba
metod	metot
meyva	meyve
orjinal	orijinal
pekçok	pek çok
phpbb	phpBB
pardesü	pardösü
pilaj	plaj
poaça	poğaça
saol	sağol
sandoviç	sandviç
süpriz	sürpriz
traş	tıraş
tazik	tazyik
taktir	takdir
ve ya	veya
wep	web
yada	ya da
yalnış	yanlış
yanlız	yalnız
yassak	yasak
yanısıra	yanı sıra
zatüre	zatürree
